file_name,number,title,date,author,publisher
bpt6k97615629	71	Les Employés , comédie-vaudeville en un acte, par MM. Francis et Maurice	1828	Francis (1778-1841). Auteur du texte ¤ Alhoy, Maurice (1802-1856). Auteur du texte	l'éditeur (Paris) ¤ Bezou (Paris)
bpt6k9613113f	72	La faction de M. le curé : vaudeville en un acte / par MM. de Brunswick et de Leuven , [avec la collaboration de Maurice Alhoy]	1849	Brunswick, Léon-Lévy (1805-1859). Auteur du texte ¤ Leuven, Adolphe de (1800-1884). Auteur du texte	Marchant (Paris)
bpt6k9614625p	73	L'hôtesse de Saint-Eloy : drame-vaudeville en trois actes / de M. V. de Saint-Hilaire [et de Maurice Alhoy]	1850	Saint-Hilaire, Amable de (1799-18..). Auteur du texte ¤ Alhoy, Maurice (1802-1856). Auteur du texte	Beck (Paris)
bpt6k98008312	74	Le Jeune Grec, ou Les six couronnes , tableau anecdotique, mêlé de couplets, par M. de Pontchartrain	1828	Alhoy, Maurice (1802-1856). Auteur du texte	Duvernois (Paris)
bpt6k9760148b	75	Le Jeune Grec, ou Les six couronnes , tableau anecdotique mêlé de couplets, par M. de Pontchartrain	1829	Alhoy, Maurice (1802-1856). Auteur du texte	(Paris)
bpt6k5440886b	76	Napoléon à Brienne : pronostic en trois tableaux, mêlé de couplets / par M. Deponchartrain	1830	Alhoy, Maurice (1802-1856). Auteur du texte ¤ Gombault, Paul Auguste (1786-1853). Auteur du texte ¤ Maréchalle, Alexandre Marie (1786-1871). Auteur du texte	J. Bréauté (Paris)
bpt6k96180216	77	Un Jour d'audience, vaudeville en un acte, imité des Contes de Bouilly, par MM. de Pontchartrain (Maurice Alhoy) et Paul G*** (Gombault). (Paris, théâtre de M. Comte, 21 avril 1829.)	1829	Alhoy, Maurice (1802-1856). Auteur du texte	Bréauté (Paris)
bpt6k96671043	78	La vieille femme colère, ou La correction conjugale , folie en un acte, mêlée de couplets, par MM. Maréchalle et Philadelphe	1823	Maréchalle, Alexandre Marie (1786-1871). Auteur du texte ¤ Alhoy, Maurice (1802-1856). Auteur du texte	Quoy (Paris)
bpt6k96015417	79	Les visites au Louvre , pièce en un acte, mêlée de couplets, par Mrs Philadelphe (Maurice Alhoy) et Ludwig (Isnard de Sainte-Lorette)	1823	Alhoy, Maurice (1802-1856). Auteur du texte ¤ Isnard de Sainte-Lorette, Louis-Sauveur (17..?-18..). Auteur du texte	Quoy (Paris)
bpt6k9634421w	80	La volière, ou Les oiseaux politiques : vaudeville en un acte / par MM. de Leuven et Brunswick , [avec la collaboration de Maurice Alhoy]	1850	Leuven, Adolphe de (1800-1884). Auteur du texte ¤ Brunswick, Léon-Lévy (1805-1859). Auteur du texte	(Paris)
