Relation	Catalogue ARK	Repository	Shelfmark	Title	Language	Creator	Date	Digitised by	Source images	Metadata Source	Format	Type	Gallica
http://catalogue.bnf.fr/ark:/12148/cb30040062r	ark:/12148/cb30040062r	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-6432	Geneviève, ou L'innocence reconnue , tragédie, dédiée à madame la duchesse de Roannez. Par messire Fr. d'Aure,...	français	Aure, François d'	1670	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5619355h	[10]-91 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5619355h
http://catalogue.bnf.fr/ark:/12148/cb313417570	ark:/12148/cb313417570	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-6865	Le prince déguisé . Tragi-comédie. Par M. de Scudéry	français	Scudéry, Georges de	1636	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5620674c	[12]-116-[2] p. : frontisp. gr. ; in-8	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5620674c
http://catalogue.bnf.fr/ark:/12148/cb30745680r	ark:/12148/cb30745680r	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-511	Thomas Morus, ou Le triomphe de la foy, et de la constance , tragédie en prose... par M. de La Serre	français	Puget de La Serre, Jean	1642	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5624589q	[8]-119-[1] p. : frontisp. et portrait gravés ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5624589q
http://catalogue.bnf.fr/ark:/12148/cb30190582z	ark:/12148/cb30190582z	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-123	Acis et Galatée . Pastorale heroïque en musique, representée pour la premiere fois dans le château d'Anet devant Monseigneur le Dauphin. Par l'Academie roiale de musique	français	Campistron, Jean Galbert de	1690	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5625330q	34 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5625330q
http://catalogue.bnf.fr/ark:/12148/cb31105673r	ark:/12148/cb31105673r	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-7046	La Filis de Scire , comédie-pastorale, tirée de l'italien par le sieur Pichou,...	français	Bonarelli, Guido Baldo	1631	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5626158d	XLVIII-143 p. ; in-8	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5626158d
http://catalogue.bnf.fr/ark:/12148/cb31146356d	ark:/12148/cb31146356d	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-10720	Scipion l'Africain , tragédie par M. Pradon	français	Pradon, Nicolas	1697	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5626255h	[6]-64 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5626255h
http://catalogue.bnf.fr/ark:/12148/cb311645217	ark:/12148/cb311645217	Bibliothèque nationale de France	Bibliothèque nationale de France, département Réserve des livres rares, YF-6849	La généreuse ingratitude , tragi-comédie pastorale. Par le Sr Quinault	français	Quinault, Philippe	1657	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5626607t	[14]-83 p. : frontisp. gr. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5626607t
http://catalogue.bnf.fr/ark:/12148/cb31247118q	ark:/12148/cb31247118q	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-230	L'Advocat savetier, par le sieur Scipion,...	français	Rosimond, Claude Rose	1683	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5628610x	In-12, 32 p.	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5628610x
http://catalogue.bnf.fr/ark:/12148/cb307625371	ark:/12148/cb307625371	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-6187	Adonis , tragédie françoyse de Gabriel Le Breton,... seigneur de La Fon. Reveu &amp; corrigé de nouveau par le mesme autheur	français	Le Breton, Guillaume	1611	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5628858f	47 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5628858f
http://catalogue.bnf.fr/ark:/12148/cb301905970	ark:/12148/cb301905970	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, 8-YTH-376	Alcide, tragédie en musique (paroles de Campistron, musique de Lulli et Marais), représentée par l'Académie royalle de musique	français	Campistron, Jean Galbert de	1693	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5629556w	In-12, 44 p., front. gravé	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5629556w
http://catalogue.bnf.fr/ark:/12148/cb333458801	ark:/12148/cb333458801	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-1385	Dialogue du cardinal de Richelieu voulant entrer en Paradis, et sa descente aux enfers . Tragi-comédie	français		1643	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5651559g	In-4. Pièce cartonnée	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5651559g
http://catalogue.bnf.fr/ark:/12148/cb31341741m	ark:/12148/cb31341741m	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-7082	La comedie des comediens poeme de nouvelle invention . Par monsieur de Scudery	français	Scudéry, Georges de	1635	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5675022h	[12]-108 p. : ill. (front.) ; in-8	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5675022h
http://catalogue.bnf.fr/ark:/12148/cb33280666c	ark:/12148/cb33280666c	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YE-2202	Le cardinal tasche d'entrer en Paradis, tragi-comédie, acte premier. Monsieur de Marillac	français		1642	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5675059j	In-4° pièce cartonnée	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5675059j
http://catalogue.bnf.fr/ark:/12148/cb30958081q	ark:/12148/cb30958081q		Bibliothèque nationale de France	Les oeuvres de Monsieur Molière. Tome 3	français	Molière	1673	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5690275b	7 vol. : frontisp. gravés, signé F.C. (Chauveau) ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5690275b
